"grammar","algo","chunk_size","chunk_id","chunk_time","control_sum"
"g2","SingleSourceAlgoBrute",16,75,0.002007722854614258,4
"g2","SingleSourceAlgoBrute",16,76,0.0005865097045898438,3
"g2","SingleSourceAlgoBrute",16,77,0.0007474422454833984,4
"g2","SingleSourceAlgoBrute",16,78,0.0007104873657226562,3
"g2","SingleSourceAlgoBrute",16,79,0.0003578662872314453,5
"g2","SingleSourceAlgoBrute",16,80,0.0005605220794677734,2
"g2","SingleSourceAlgoBrute",16,81,0.00036215782165527344,0
"g2","SingleSourceAlgoBrute",16,82,0.0003437995910644531,3
"g2","SingleSourceAlgoBrute",32,0,0.0008366107940673828,9
"g2","SingleSourceAlgoBrute",32,1,0.0011072158813476562,8
"g2","SingleSourceAlgoBrute",32,2,0.0004036426544189453,2
"g2","SingleSourceAlgoBrute",32,3,0.0006663799285888672,3
"g2","SingleSourceAlgoBrute",32,4,0.0008118152618408203,8
"g2","SingleSourceAlgoBrute",32,5,0.0004177093505859375,3
"g2","SingleSourceAlgoBrute",32,6,0.0008070468902587891,8
"g2","SingleSourceAlgoBrute",32,7,0.001508951187133789,6
"g2","SingleSourceAlgoBrute",32,8,0.0006763935089111328,5
"g2","SingleSourceAlgoBrute",32,9,0.0007443428039550781,5
"g2","SingleSourceAlgoBrute",32,10,0.0008182525634765625,5
"g2","SingleSourceAlgoBrute",32,11,0.0014734268188476562,5
"g2","SingleSourceAlgoBrute",32,12,0.00041031837463378906,7
"g2","SingleSourceAlgoBrute",32,13,0.0007886886596679688,4
"g2","SingleSourceAlgoBrute",32,14,0.0004372596740722656,6
"g2","SingleSourceAlgoBrute",32,15,0.0010271072387695312,9
"g2","SingleSourceAlgoBrute",32,16,0.0010313987731933594,10
"g2","SingleSourceAlgoBrute",32,17,0.0008232593536376953,7
"g2","SingleSourceAlgoBrute",32,18,0.00039768218994140625,9
"g2","SingleSourceAlgoBrute",32,19,0.0004398822784423828,6
"g2","SingleSourceAlgoBrute",32,20,0.00040650367736816406,4
"g2","SingleSourceAlgoBrute",32,21,0.0007977485656738281,4
"g2","SingleSourceAlgoBrute",32,22,0.0015194416046142578,3
"g2","SingleSourceAlgoBrute",32,23,0.0011019706726074219,3
"g2","SingleSourceAlgoBrute",32,24,0.0006868839263916016,3
"g2","SingleSourceAlgoBrute",32,25,0.0006763935089111328,5
"g2","SingleSourceAlgoBrute",32,26,0.0013463497161865234,4
"g2","SingleSourceAlgoBrute",32,27,0.0004012584686279297,4
"g2","SingleSourceAlgoBrute",32,28,0.0007412433624267578,3
"g2","SingleSourceAlgoBrute",32,29,0.0006272792816162109,4
"g2","SingleSourceAlgoBrute",32,30,0.00039696693420410156,1
"g2","SingleSourceAlgoBrute",32,31,0.0007467269897460938,5
"g2","SingleSourceAlgoBrute",32,32,0.0010256767272949219,2
"g2","SingleSourceAlgoBrute",32,33,0.0007710456848144531,8
"g2","SingleSourceAlgoBrute",32,34,0.0013523101806640625,3
"g2","SingleSourceAlgoBrute",32,35,0.0007627010345458984,3
