"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time"
"g1",16,60,"960 975",0,0.019935128
"g1",16,61,"976 991",16,0.020342873999999997
"g1",16,62,"992 1007",3,0.022157571999999997
"g1",16,63,"1008 1023",17,0.021993512
"g1",16,64,"1024 1039",1,0.020737427
"g1",16,65,"1040 1055",1,0.020099229
"g1",16,66,"1056 1071",5,0.020895946999999998
"g1",16,67,"1072 1087",2,0.020839683
"g1",16,68,"1088 1103",5,0.020318511999999997
"g1",16,69,"1104 1119",20,0.021676863
"g1",16,70,"1120 1135",0,0.020545088
"g1",16,71,"1136 1151",3,0.020599997
"g1",16,72,"1152 1167",6,0.020719954000000002
"g1",16,73,"1168 1183",1,0.020186153999999998
"g1",16,74,"1184 1199",3,0.020543517
"g1",16,75,"1200 1215",13,0.022443154
"g1",16,76,"1216 1231",3,0.020500694
"g1",16,77,"1232 1247",21,0.020836126
"g1",16,78,"1248 1263",5,0.020697322
"g1",16,79,"1264 1279",3,0.020478924
"g1",16,80,"1280 1295",1,0.020208626
"g1",16,81,"1296 1311",0,0.020668578
"g1",16,82,"1312 1322",0,0.020411608
"g1",32,0,"0 31",39,0.027091944000000003
"g1",32,1,"32 63",32,0.024097564999999998
"g1",32,2,"64 95",23,0.022537583
"g1",32,3,"96 127",9,0.020579840999999998
"g1",32,4,"128 159",10,0.020534842999999997
"g1",32,5,"160 191",20,0.021089899
"g1",32,6,"192 223",32,0.023338389
"g1",32,7,"224 255",17,0.020844937
"g1",32,8,"256 287",2,0.020659472
"g1",32,9,"288 319",5,0.021918197
"g1",32,10,"320 351",5,0.020726808
"g1",32,11,"352 383",23,0.020846546
"g1",32,12,"384 415",0,0.020331754
"g1",32,13,"416 447",23,0.021735916
"g1",32,14,"448 479",4,0.020942359
"g1",32,15,"480 511",4,0.020779462
"g1",32,16,"512 543",7,0.020848863000000002
"g1",32,17,"544 575",26,0.02241274
"g1",32,18,"576 607",11,0.021583832
"g1",32,19,"608 639",22,0.020481046
