"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,188,"3008 3023",1,0.028103413,8
"g1",16,189,"3024 3039",4,0.028671322,9
"g1",16,190,"3040 3055",5,0.030629547,5
"g1",16,191,"3056 3071",3,0.029294214,7
"g1",16,192,"3072 3087",3,0.027625752,3
"g1",16,193,"3088 3103",1,0.027483612999999997,11
"g1",16,194,"3104 3119",3,0.028805997,7
"g1",16,195,"3120 3135",4,0.02977142,6
"g1",16,196,"3136 3151",1,0.026275469000000003,9
"g1",16,197,"3152 3167",3,0.028548496,9
"g1",16,198,"3168 3183",1,0.028071998,3
"g1",16,199,"3184 3199",1,0.026675696,9
"g1",16,200,"3200 3215",2,0.029266566,6
"g1",16,201,"3216 3231",2,0.029880943,4
"g1",16,202,"3232 3247",4,0.028993772,11
"g1",16,203,"3248 3263",2,0.027086458,0
"g1",16,204,"3264 3279",3,0.028499087,11
"g1",16,205,"3280 3295",2,0.027491461000000002,8
"g1",16,206,"3296 3311","",""
"g1",16,207,"3312 3327",1,0.042358565,14
"g1",16,208,"3328 3343",1,0.032331654,27
"g1",16,209,"3344 3359",2,0.030300059999999997,19
"g1",16,210,"3360 3375",2,0.038311898999999996,23
"g1",16,211,"3376 3391",3,0.030433275,15
"g1",16,212,"3392 3407",5,0.030874435999999998,9
"g1",16,213,"3408 3423",3,0.028697842999999997,15
"g1",16,214,"3424 3439",4,0.030570353999999998,10
"g1",16,215,"3440 3455",2,0.029742421,5
"g1",16,216,"3456 3471",1,0.027939618,10
"g1",16,217,"3472 3487",1,0.027528776,2
"g1",16,218,"3488 3503",3,0.029727256,5
"g1",16,219,"3504 3519",1,0.028527337,11
"g1",16,220,"3520 3535",4,0.029639668,7
"g1",16,221,"3536 3551",4,0.033186312,9
"g1",16,222,"3552 3567",3,0.02938524,15
"g1",16,223,"3568 3583",2,0.027534565,10
"g1",16,224,"3584 3599",4,0.03061003,9
"g1",16,225,"3600 3615",2,0.02870269,5
"g1",16,226,"3616 3631",1,0.028778512,7
"g1",16,227,"3632 3647",3,0.028194132,8
"g1",16,228,"3648 3663",4,0.028670961,4
"g1",16,229,"3664 3679",4,0.029536258,11
"g1",16,230,"3680 3695",3,0.030964503,6
"g1",16,231,"3696 3711",1,0.029494877,7
"g1",16,232,"3712 3727",3,0.031695347,-2
"g1",16,233,"3728 3743",1,0.029850875,5
"g1",16,234,"3744 3759",0,0.027356202,10
"g1",16,235,"3760 3775",2,0.028040093,5
"g1",16,236,"3776 3791",1,0.027974584,13
"g1",16,237,"3792 3807",3,0.030811679,3
"g1",16,238,"3808 3823",4,0.028693251,11
"g1",16,239,"3824 3839",4,0.027073517,8
"g1",16,240,"3840 3855",2,0.027761477,7
"g1",16,241,"3856 3871",2,0.030572439,10
"g1",16,242,"3872 3887",3,0.031163117,0
"g1",16,243,"3888 3903",4,0.02911667,9
"g1",16,244,"3904 3919",3,0.029444107,6
"g1",16,245,"3920 3935",0,0.027468784,7
"g1",16,246,"3936 3951",1,0.027246858,10
"g1",16,247,"3952 3967",2,0.030720973000000002,8
"g1",16,248,"3968 3983",4,0.029100887,10
"g1",16,249,"3984 3999",2,0.030421399999999998,9
"g1",16,250,"4000 4015",4,0.029974189,8
"g1",16,251,"4016 4031",3,0.027109247,9
"g1",16,252,"4032 4047",0,0.026283344,7
"g1",16,253,"4048 4063",0,0.027141046,11
"g1",16,254,"4064 4079",0,0.027039007,5
"g1",16,255,"4080 4095",1,0.029803661999999998,10
"g1",16,256,"4096 4111",3,0.029665563,10
"g1",16,257,"4112 4127",2,0.030410477,5
"g1",16,258,"4128 4143",1,0.028381478,4
"g1",16,259,"4144 4159",2,0.028443234,11
"g1",16,260,"4160 4175",2,0.028203425,3
"g1",16,261,"4176 4191",1,0.027776651,7
"g1",16,262,"4192 4207",1,0.02748178,6
"g1",16,263,"4208 4223",2,0.027789754,6
"g1",16,264,"4224 4239",4,0.027449145,9
"g1",16,265,"4240 4255",1,0.028897033,7
"g1",16,266,"4256 4271",2,0.03169793,6
"g1",16,267,"4272 4287",0,0.025529034,6
"g1",16,268,"4288 4303",2,0.028420699,9
"g1",16,269,"4304 4319",3,0.028573264,8
"g1",16,270,"4320 4335",3,0.028064321,4
"g1",16,271,"4336 4351",3,0.029298104999999998,9
"g1",16,272,"4352 4367",1,0.031078794,5
"g1",16,273,"4368 4383",3,0.029615989,8
"g1",16,274,"4384 4399",4,0.028215175,0
"g1",16,275,"4400 4415",4,0.031427815,9
"g1",16,276,"4416 4431",2,0.027154275,8
"g1",16,277,"4432 4447",3,0.030582937999999997,10
"g1",16,278,"4448 4463",3,0.028594494,8
"g1",16,279,"4464 4479",4,0.030978419,5
"g1",16,280,"4480 4495",5,0.030799446,4
"g1",16,281,"4496 4511",3,0.026928265,8
"g1",16,282,"4512 4527",4,0.027724547000000002,5
"g1",16,283,"4528 4543",2,0.027798082999999998,12
"g1",16,284,"4544 4559",2,0.028968673,6
"g1",16,285,"4560 4575",1,0.029234748,7
"g1",16,286,"4576 4591",2,0.028040351,8
"g1",16,287,"4592 4607",6,0.031768184000000005,9
"g1",16,288,"4608 4623",2,0.029426584999999998,6
"g1",16,289,"4624 4639",3,0.029001615,6
"g1",16,290,"4640 4655",5,0.029253552,10
