"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,217,"3472 3487",3,0.308818871,16
"g1",16,218,"3488 3503",10,0.32613888300000005,17
"g1",16,219,"3504 3519",0,0.200395562,8
"g1",16,220,"3520 3535",8,0.457258147,19
"g1",16,221,"3536 3551",0,0.163878442,7
"g1",16,222,"3552 3567",0,0.163707997,-22
"g1",16,223,"3568 3583",9,0.28651095400000004,19
"g1",16,224,"3584 3599",2,0.360340918,2
"g1",16,225,"3600 3615",19,0.33236572000000003,5
"g1",16,226,"3616 3631",0,0.156283501,-4
"g1",16,227,"3632 3647",2,0.27394743899999996,-10
"g1",16,228,"3648 3663",3,0.240108551,32
"g1",16,229,"3664 3679",8,0.279077968,3
"g1",16,230,"3680 3695",73,0.342122152,42
"g1",16,231,"3696 3711",12,0.281029212,17
"g1",16,232,"3712 3727",17,0.429023472,-10
"g1",16,233,"3728 3743",2,0.24740562,-19
"g1",16,234,"3744 3759",7,0.304312353,10
"g1",16,235,"3760 3775",4,0.26431208199999995,28
"g1",16,236,"3776 3791",37,0.274483732,0
"g1",16,237,"3792 3807",0,0.189608212,3
"g1",16,238,"3808 3823",176,1.100643389,39
"g1",16,239,"3824 3839",2,0.318738178,33
"g1",16,240,"3840 3855",11,0.293988495,34
"g1",16,241,"3856 3871",16,0.28600779899999995,-17
"g1",16,242,"3872 3887",3,0.27182876499999997,7
"g1",16,243,"3888 3903",7,0.29356709200000003,-13
"g1",16,244,"3904 3919",21,0.531506032,29
"g1",16,245,"3920 3935",19,0.45605255,32
"g1",16,246,"3936 3951",1,0.275975467,23
"g1",16,247,"3952 3967",9,0.33915896900000003,0
"g1",16,248,"3968 3983",5,0.27473743500000003,25
"g1",16,249,"3984 3999",15,0.37465168,30
"g1",16,250,"4000 4015",3,0.26878956,27
"g1",16,251,"4016 4031",19,0.36976086199999997,7
"g1",16,252,"4032 4047",2,0.274620521,10
"g1",16,253,"4048 4063",18,0.34991305699999997,9
"g1",16,254,"4064 4079",0,0.18464509799999998,27
"g1",16,255,"4080 4095",0,0.194863954,-3
"g1",16,256,"4096 4111",4,0.31341292099999996,25
"g1",16,257,"4112 4127",0,0.16595152300000002,34
"g1",16,258,"4128 4143",6,0.386871396,6
"g1",16,259,"4144 4159",9,0.220229397,16
"g1",16,260,"4160 4175",5,0.35605515000000004,-26
"g1",16,261,"4176 4191",8,0.347248949,15
"g1",16,262,"4192 4207",7,0.246050899,-11
"g1",16,263,"4208 4223",12,0.419952308,24
"g1",16,264,"4224 4239",5,0.261788172,10
"g1",16,265,"4240 4255",4,0.263590643,-18
"g1",16,266,"4256 4271",88,0.550302742,27
"g1",16,267,"4272 4287",15,0.351883369,13
"g1",16,268,"4288 4303",73,1.094381046,21
"g1",16,269,"4304 4319",25,0.668295444,28
"g1",16,270,"4320 4335",1,0.260087692,15
"g1",16,271,"4336 4351",7,0.315339944,20
"g1",16,272,"4352 4367",9,0.402487574,-2
"g1",16,273,"4368 4383",6,0.278125404,32
"g1",16,274,"4384 4399",76,0.708093713,6
"g1",16,275,"4400 4415",2,0.27359772099999996,-6
"g1",16,276,"4416 4431",0,0.15115745,15
"g1",16,277,"4432 4447",253,1.219513666,16
"g1",16,278,"4448 4463",3,0.272513112,26
"g1",16,279,"4464 4479",2,0.22674782999999998,22
"g1",16,280,"4480 4495",0,0.167355334,8
"g1",16,281,"4496 4511",5,0.35664586800000003,30
"g1",16,282,"4512 4527",3,0.270503215,2
"g1",16,283,"4528 4543",5,0.25956314300000005,33
"g1",16,284,"4544 4559",0,0.163942483,39
"g1",16,285,"4560 4575",17,0.34026992100000003,3
"g1",16,286,"4576 4591",63,0.658871553,15
"g1",16,287,"4592 4607",4,0.45150199300000005,10
"g1",16,288,"4608 4623",20,0.926999374,35
"g1",16,289,"4624 4639",15,0.43907335799999997,-4
"g1",16,290,"4640 4655",8,0.322036412,-9
"g1",16,291,"4656 4671",27,0.530314954,21
"g1",16,292,"4672 4687",2,0.22930560600000002,-8
"g1",16,293,"4688 4703",2,0.278711719,-41
"g1",16,294,"4704 4719",118,0.710402416,20
"g1",16,295,"4720 4735",0,0.18755515399999997,34
"g1",16,296,"4736 4751",0,0.15522158,15
"g1",16,297,"4752 4767",4,0.370834607,35
"g1",16,298,"4768 4783",0,0.19425445500000002,3
"g1",16,299,"4784 4799",12,0.430097016,24
"g1",16,300,"4800 4815",12,0.248798216,-9
"g1",16,301,"4816 4831",11,0.26749379599999995,25
"g1",16,302,"4832 4847","",""
"g1",16,303,"4848 4863",2,0.417823616,4
"g1",16,304,"4864 4879",4,0.266214886,0
"g1",16,305,"4880 4895",0,0.210124276,5
"g1",16,306,"4896 4911",2,0.284058354,-3
"g1",16,307,"4912 4927",10,0.240824771,24
"g1",16,308,"4928 4943",10,0.376917036,1
"g1",16,309,"4944 4959",39,0.631059501,-5
"g1",16,310,"4960 4975",40,0.668399769,5
"g1",16,311,"4976 4991",20,0.367541067,37
"g1",16,312,"4992 5007",25,0.558703402,-31
"g1",16,313,"5008 5023",0,0.154268834,41
"g1",16,314,"5024 5039",1,0.247230841,14
"g1",16,315,"5040 5055",8,0.578750459,12
"g1",16,316,"5056 5071",2,0.275300806,32
"g1",16,317,"5072 5087",6,0.237109495,0
"g1",16,318,"5088 5103",2,0.252977169,5
"g1",16,319,"5104 5119",2,0.249085994,-13
"g1",16,320,"5120 5135",0,0.207404667,-1
"g1",16,321,"5136 5151",76,1.072463074,12
"g1",16,322,"5152 5167",3,0.30213429,-2
"g1",16,323,"5168 5183",0,0.16913419400000002,-1
"g1",16,324,"5184 5199",0,0.171157192,6
"g1",16,325,"5200 5215",4,0.482326709,-24
"g1",16,326,"5216 5231",48,0.517084696,5
"g1",16,327,"5232 5247",59,0.8557116929999999,13
"g1",16,328,"5248 5263",5,0.278741412,1
"g1",16,329,"5264 5279",19,0.497737503,-3
"g1",16,330,"5280 5295",2,0.295274205,24
