"grammar","algo","chunk_size","chunk_id","chunk_time"
"g2","SingleSourceAlgoBrute",100,2,0.0024733543395996094
"g2","SingleSourceAlgoBrute",100,3,0.0031888484954833984
"g2","SingleSourceAlgoBrute",100,4,0.0021495819091796875
"g2","SingleSourceAlgoBrute",100,5,0.0021283626556396484
"g2","SingleSourceAlgoBrute",100,6,0.0012886524200439453
"g2","SingleSourceAlgoBrute",100,7,0.0012297630310058594
"g2","SingleSourceAlgoBrute",100,8,0.0014367103576660156
"g2","SingleSourceAlgoBrute",100,9,0.0014073848724365234
"g2","SingleSourceAlgoBrute",100,10,0.002319812774658203
"g2","SingleSourceAlgoBrute",100,11,0.0007371902465820312
"g2","SingleSourceAlgoBrute",100,12,0.0007328987121582031
"g2","SingleSourceAlgoBrute",100,13,0.000476837158203125
"g2","SingleSourceAlgoBrute",500,0,0.006619453430175781
"g2","SingleSourceAlgoBrute",500,1,0.0040624141693115234
"g2","SingleSourceAlgoBrute",500,2,0.00423431396484375
"g2","SingleSourceAlgoBrute",1000,0,0.007912158966064453
"g2","SingleSourceAlgoBrute",1000,1,0.004675626754760742
"g2","SingleSourceAlgoBrute",5000,0,0.009045124053955078
"g2","SingleSourceAlgoBrute",10000,0,0.008725404739379883
"g2","SingleSourceAlgoBrute",1323,0,0.008884906768798828
"geo","SingleSourceAlgoOpt",32,0,0.0005197525024414062
"geo","SingleSourceAlgoOpt",32,1,0.0004210472106933594
"geo","SingleSourceAlgoOpt",32,2,0.0004322528839111328
"geo","SingleSourceAlgoOpt",32,3,0.0007584095001220703
"geo","SingleSourceAlgoOpt",32,4,0.0008594989776611328
"geo","SingleSourceAlgoOpt",32,5,0.0008714199066162109
"geo","SingleSourceAlgoOpt",32,6,0.0006039142608642578
"geo","SingleSourceAlgoOpt",32,7,0.0004482269287109375
"geo","SingleSourceAlgoOpt",32,8,0.0004990100860595703
"geo","SingleSourceAlgoOpt",32,9,0.0004975795745849609
"geo","SingleSourceAlgoOpt",32,10,0.00043129920959472656
"geo","SingleSourceAlgoOpt",32,11,0.0004086494445800781
"geo","SingleSourceAlgoOpt",32,12,0.0004055500030517578
"geo","SingleSourceAlgoOpt",32,13,0.00040268898010253906
"geo","SingleSourceAlgoOpt",32,14,0.00045752525329589844
"geo","SingleSourceAlgoOpt",32,15,0.0005354881286621094
"geo","SingleSourceAlgoOpt",32,16,0.00046825408935546875
"geo","SingleSourceAlgoOpt",32,17,0.0004341602325439453
"geo","SingleSourceAlgoOpt",32,18,0.00041675567626953125
