,graph,grammar,chunk_size,SingleSourceAlgoBruteTime,SingleSourceAlgoOptTime,SingleSourceAlgoBruteStdDev,SingleSourceAlgoOptStdDev
86,geospecies,g1,1000,11.163323864006088,13.831192240002565,0,0
87,geospecies,g1,5000,5.678461547999178,9.579719767003553,0,0
88,geospecies,g1,10000,4.860952190007083,9.672551602998283,0,0
89,geospecies,g1,50000,4.197943214996485,10.986689120996745,0,0
90,geospecies,g1,100000,5.4331910890032304,11.616901586996393,0,0
91,geospecies,g2,100,2.309890557007748,4.502477167989127,0,0
92,geospecies,g2,500,1.5403758540051058,4.076635710996925,0,0
93,geospecies,g2,1000,1.4421228259889176,4.000022221996915,0,0
94,geospecies,g2,5000,1.3601160980033455,3.9332699419901473,0,0
95,geospecies,g2,10000,1.3546285449992863,3.8858657960081473,0,0
96,geospecies,g2,50000,1.3460985290003011,3.875328205002006,0,0
97,geospecies,g2,100000,1.4206079709983896,3.92975876199489,0,0
98,geospecies,geo,100,2.2996896309923613,4.460159371999907,0,0
99,geospecies,geo,500,1.5321590859966818,3.972283736002282,0,0
100,geospecies,geo,1000,1.4397619189985562,3.9332219130010335,0,0
101,geospecies,geo,5000,1.359883750003064,3.8662393859995055,0,0
102,geospecies,geo,10000,1.354235698003322,3.8512114409968485,0,0
103,geospecies,geo,50000,1.3514120749896392,3.845059048995609,0,0
104,geospecies,geo,100000,1.4182021140004508,3.9065353179903464,0,0
105,go,g1,100,859.0465130410013,637.9788382959961,0,0
106,go,g1,500,364.8449212580017,369.0390715280082,0,0
107,go,g1,1000,262.4000725509977,322.26320831000334,0,0
108,go,g1,5000,144.27610250200087,225.3472600200039,0,0
109,go,g1,10000,113.81894942000507,190.24610526200559,0,0
110,go,g1,50000,65.42803490599908,126.1952393190004,0,0
111,go,g1,100000,52.67025354198996,105.44667315400149,0,0
112,go,g2,100,160.41965442600485,252.29867965400624,0,0
113,go,g2,500,129.7300270720007,204.84238813800042,0,0
114,go,g2,1000,124.03483802400295,188.87041359599968,0,0
115,go,g2,5000,98.48926513899643,140.52477759600148,0,0
116,go,g2,10000,80.59194125799695,115.46920905799196,0,0
117,go,g2,50000,40.32029368399526,62.500261623004924,0,0
118,go,g2,100000,30.628338182010342,50.8665503969969,0,0
119,go,geo,100,2.9733099309960385,5.767176510998978,0,0
120,go,geo,500,1.9899733180063777,5.1458588969981065,0,0
121,go,geo,1000,1.8758169640059352,5.063535662004142,0,0
122,go,geo,5000,1.7620202770049218,4.9862819770060005,0,0
123,go,geo,10000,1.7479469070094638,4.991774512003758,0,0
124,go,geo,50000,1.742119339003693,5.0043280190002415,0,0
125,go,geo,100000,1.8376373900100589,5.050108241994167,0,0
126,go-hierarchy,g1,100,10.943128344006254,17.043908906998695,0,0
127,go-hierarchy,g1,500,5.305122769990703,9.093613598000957,0,0
128,go-hierarchy,g1,1000,4.004821192997042,6.84753812100098,0,0
129,go-hierarchy,g1,5000,2.0507747750089043,3.9438588179909857,0,0
130,go-hierarchy,g1,10000,1.573423545007245,3.226356045997818,0,0
131,go-hierarchy,g1,100000,0.6205861650087172,1.4395603769953595,0,0
132,go-hierarchy,g2,100,12.102963981000354,13.895014845998958,0,0
133,go-hierarchy,g2,500,5.605044570998872,7.518902064010034,0,0
134,go-hierarchy,g2,1000,4.019920523001929,5.504537935994449,0,0
135,go-hierarchy,g2,5000,1.8928796319960384,3.1786743230040884,0,0
136,go-hierarchy,g2,10000,1.375735731999157,2.576292208992527,0,0
137,go-hierarchy,g2,100000,0.7816357389965559,1.8116439969890048,0,0
138,go-hierarchy,geo,100,0.23387452500173825,0.4482203850056976,0,0
139,go-hierarchy,geo,500,0.15643478599668015,0.3996035989985103,0,0
140,go-hierarchy,geo,1000,0.14667041999928188,0.386953301000176,0,0
141,go-hierarchy,geo,5000,0.1384191420074785,0.385604451992549,0,0
142,go-hierarchy,geo,10000,0.13907106799888425,0.3881731770088663,0,0
143,go-hierarchy,geo,100000,0.13329239300219342,0.3877862869994715,0,0
144,pathways,g1,100,0.3513131920044543,0.5905906679981854,0,0
145,pathways,g1,500,0.19535545499820728,0.4455777539988048,0,0
146,pathways,g1,1000,0.16373347799526528,0.3920371480053291,0,0
147,pathways,g1,5000,0.10271093099436256,0.2623802390007768,0,0
148,pathways,g1,100000,0.05278155799896922,0.13955416399403475,0,0
149,pathways,g2,100,0.2474479890079237,0.4552912290091626,0,0
